# BEGIN PLOT
LegendOnly=/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/SoftDropMass/d05-x01-y01
DrawOnly=/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/JSS_tune.yoda/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/monash_tune.yoda/SoftDropMass/d05-x01-y01 //Users/jenniferroloff/Work/tuningStudies/ATLAS_tune.yoda/SoftDropMass/d05-x01-y01
RatioPlotReference=/SoftDropMass/d05-x01-y01
RatioPlot=1
LogY=1
Legend=1
# END PLOT

# BEGIN HISTO1D /SoftDropMass/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/SoftDropMass/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.332430e-02	1.082343e-03	1.082343e-03
1.000000e+00	2.000000e+00	6.560880e-02	6.410478e-03	6.410478e-03
2.000000e+00	3.000000e+00	1.524230e-01	1.799011e-02	1.799011e-02
3.000000e+00	4.000000e+00	2.141410e-01	1.042807e-02	1.042807e-02
4.000000e+00	5.000000e+00	2.392370e-01	6.346776e-03	6.346776e-03
5.000000e+00	6.000000e+00	2.360980e-01	1.160758e-02	1.160758e-02
6.000000e+00	7.000000e+00	2.482770e-01	9.149610e-03	9.149610e-03
7.000000e+00	8.000000e+00	2.763880e-01	1.556635e-02	1.556635e-02
8.000000e+00	9.000000e+00	2.358310e-01	1.654809e-02	1.654809e-02
9.000000e+00	1.000000e+01	5.619680e-02	4.926852e-03	4.926852e-03
1.000000e+01	1.100000e+01	1.719550e-02	1.391948e-03	1.391948e-03
1.100000e+01	1.200000e+01	7.707750e-02	9.845454e-03	9.845454e-03
1.200000e+01	1.300000e+01	1.671330e-01	2.095693e-02	2.095693e-02
1.300000e+01	1.400000e+01	2.258270e-01	1.082111e-02	1.082111e-02
1.400000e+01	1.500000e+01	2.438770e-01	7.250471e-03	7.250471e-03
1.500000e+01	1.600000e+01	2.366430e-01	1.280277e-02	1.280277e-02
1.600000e+01	1.700000e+01	2.504020e-01	7.720426e-03	7.720426e-03
1.700000e+01	1.800000e+01	2.690780e-01	8.803562e-03	8.803562e-03
1.800000e+01	1.900000e+01	2.459850e-01	1.043686e-02	1.043686e-02
1.900000e+01	2.000000e+01	5.336970e-02	3.421227e-03	3.421227e-03
2.000000e+01	2.100000e+01	2.108640e-02	2.027237e-03	2.027237e-03
2.100000e+01	2.200000e+01	8.756740e-02	1.204287e-02	1.204287e-02
2.200000e+01	2.300000e+01	1.744510e-01	1.998027e-02	1.998027e-02
2.300000e+01	2.400000e+01	2.312150e-01	1.125538e-02	1.125538e-02
2.400000e+01	2.500000e+01	2.437300e-01	5.524824e-03	5.524824e-03
2.500000e+01	2.600000e+01	2.363330e-01	1.178652e-02	1.178652e-02
2.600000e+01	2.700000e+01	2.557080e-01	8.694021e-03	8.694021e-03
2.700000e+01	2.800000e+01	2.642290e-01	7.852521e-03	7.852521e-03
2.800000e+01	2.900000e+01	2.229940e-01	1.140482e-02	1.140482e-02
2.900000e+01	3.000000e+01	5.467390e-02	4.696919e-03	4.696919e-03
3.000000e+01	3.100000e+01	2.648950e-02	3.653119e-03	3.653119e-03
3.100000e+01	3.200000e+01	1.004820e-01	1.487910e-02	1.487910e-02
3.200000e+01	3.300000e+01	1.839550e-01	1.981743e-02	1.981743e-02
3.300000e+01	3.400000e+01	2.315410e-01	9.390536e-03	9.390536e-03
3.400000e+01	3.500000e+01	2.420520e-01	7.223536e-03	7.223536e-03
3.500000e+01	3.600000e+01	2.373880e-01	1.130859e-02	1.130859e-02
3.600000e+01	3.700000e+01	2.551670e-01	5.783196e-03	5.783196e-03
3.700000e+01	3.800000e+01	2.653930e-01	5.738017e-03	5.738017e-03
3.800000e+01	3.900000e+01	2.222130e-01	1.005575e-02	1.005575e-02
3.900000e+01	4.000000e+01	5.386070e-02	4.080493e-03	4.080493e-03
4.000000e+01	4.100000e+01	3.163090e-02	4.628186e-03	4.628186e-03
4.100000e+01	4.200000e+01	1.159020e-01	1.866044e-02	1.866044e-02
4.200000e+01	4.300000e+01	1.969620e-01	2.133292e-02	2.133292e-02
4.300000e+01	4.400000e+01	2.352010e-01	7.362277e-03	7.362277e-03
4.400000e+01	4.500000e+01	2.400480e-01	7.615637e-03	7.615637e-03
4.500000e+01	4.600000e+01	2.349390e-01	1.001646e-02	1.001646e-02
4.600000e+01	4.700000e+01	2.576570e-01	7.753977e-03	7.753977e-03
4.700000e+01	4.800000e+01	2.673550e-01	9.197959e-03	9.197959e-03
4.800000e+01	4.900000e+01	2.430290e-01	1.175424e-02	1.175424e-02
4.900000e+01	5.000000e+01	5.613930e-02	4.186536e-03	4.186536e-03
5.000000e+01	5.100000e+01	3.866460e-02	6.980523e-03	6.980523e-03
5.100000e+01	5.200000e+01	1.264900e-01	2.240444e-02	2.240444e-02
5.200000e+01	5.300000e+01	2.071130e-01	2.350288e-02	2.350288e-02
5.300000e+01	5.400000e+01	2.478420e-01	8.560312e-03	8.560312e-03
5.400000e+01	5.500000e+01	2.499840e-01	8.094014e-03	8.094014e-03
5.500000e+01	5.600000e+01	2.368260e-01	1.062543e-02	1.062543e-02
5.600000e+01	5.700000e+01	2.522370e-01	9.465709e-03	9.465709e-03
5.700000e+01	5.800000e+01	2.609540e-01	1.108028e-02	1.108028e-02
5.800000e+01	5.900000e+01	2.172150e-01	1.086294e-02	1.086294e-02
5.900000e+01	6.000000e+01	5.609140e-02	4.178933e-03	4.178933e-03
6.000000e+01	6.100000e+01	4.109000e-02	7.908584e-03	7.908584e-03
6.100000e+01	6.200000e+01	1.286440e-01	2.273153e-02	2.273153e-02
6.200000e+01	6.300000e+01	2.042920e-01	2.218236e-02	2.218236e-02
6.300000e+01	6.400000e+01	2.429720e-01	6.782044e-03	6.782044e-03
6.400000e+01	6.500000e+01	2.511420e-01	8.930986e-03	8.930986e-03
6.500000e+01	6.600000e+01	2.383200e-01	1.013903e-02	1.013903e-02
6.600000e+01	6.700000e+01	2.364140e-01	7.727392e-03	7.727392e-03
6.700000e+01	6.800000e+01	2.741240e-01	1.326879e-02	1.326879e-02
6.800000e+01	6.900000e+01	1.936070e-01	1.159585e-02	1.159585e-02
6.900000e+01	7.000000e+01	5.864830e-02	4.798920e-03	4.798920e-03
7.000000e+01	7.100000e+01	4.781610e-02	9.169574e-03	9.169574e-03
7.100000e+01	7.200000e+01	1.402280e-01	2.385306e-02	2.385306e-02
7.200000e+01	7.300000e+01	2.123670e-01	2.124472e-02	2.124472e-02
7.300000e+01	7.400000e+01	2.453480e-01	7.619797e-03	7.619797e-03
7.400000e+01	7.500000e+01	2.582530e-01	9.086262e-03	9.086262e-03
7.500000e+01	7.600000e+01	2.570850e-01	1.027476e-02	1.027476e-02
7.600000e+01	7.700000e+01	2.270670e-01	7.368156e-03	7.368156e-03
7.700000e+01	7.800000e+01	2.575950e-01	1.244404e-02	1.244404e-02
7.800000e+01	7.900000e+01	2.065150e-01	1.286779e-02	1.286779e-02
7.900000e+01	8.000000e+01	5.629180e-02	4.873678e-03	4.873678e-03
8.000000e+01	8.100000e+01	7.819490e-02	1.703426e-02	1.703426e-02
8.100000e+01	8.200000e+01	1.756190e-01	2.984496e-02	2.984496e-02
8.200000e+01	8.300000e+01	2.269410e-01	1.890821e-02	1.890821e-02
8.300000e+01	8.400000e+01	2.476700e-01	5.073926e-03	5.073926e-03
8.400000e+01	8.500000e+01	2.556090e-01	7.946348e-03	7.946348e-03
8.500000e+01	8.600000e+01	2.565730e-01	6.947399e-03	6.947399e-03
8.600000e+01	8.700000e+01	2.372480e-01	6.600676e-03	6.600676e-03
8.700000e+01	8.800000e+01	2.505700e-01	9.754280e-03	9.754280e-03
8.800000e+01	8.900000e+01	2.098050e-01	1.025964e-02	1.025964e-02
8.900000e+01	9.000000e+01	3.839030e-02	2.561906e-03	2.561906e-03
# END HISTO1D


# BEGIN HISTO1D //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d05-x01-y01
LineColor=red
LineStyle=solid
Path=//Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/SoftDropMass/d05-x01-y01
Title=Mass only, incl. pT
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.156745e-02	8.220627e-04	8.220627e-04
1.000000e+00	2.000000e+00	6.373780e-02	1.929677e-03	1.929677e-03
2.000000e+00	3.000000e+00	1.500263e-01	2.960533e-03	2.960533e-03
3.000000e+00	4.000000e+00	2.064614e-01	3.473007e-03	3.473007e-03
4.000000e+00	5.000000e+00	2.362564e-01	3.715164e-03	3.715164e-03
5.000000e+00	6.000000e+00	2.464217e-01	3.794247e-03	3.794247e-03
6.000000e+00	7.000000e+00	2.516796e-01	3.834513e-03	3.834513e-03
7.000000e+00	8.000000e+00	2.656423e-01	3.939443e-03	3.939443e-03
8.000000e+00	9.000000e+00	2.290705e-01	3.658228e-03	3.658228e-03
9.000000e+00	1.000000e+01	6.105042e-02	1.888559e-03	1.888559e-03
1.000000e+01	1.100000e+01	1.804468e-02	1.312557e-03	1.312557e-03
1.100000e+01	1.200000e+01	7.628413e-02	2.698739e-03	2.698739e-03
1.200000e+01	1.300000e+01	1.617338e-01	3.929562e-03	3.929562e-03
1.300000e+01	1.400000e+01	2.170136e-01	4.551841e-03	4.551841e-03
1.400000e+01	1.500000e+01	2.407867e-01	4.794684e-03	4.794684e-03
1.500000e+01	1.600000e+01	2.460378e-01	4.846683e-03	4.846683e-03
1.600000e+01	1.700000e+01	2.465152e-01	4.851383e-03	4.851383e-03
1.700000e+01	1.800000e+01	2.666603e-01	5.045717e-03	5.045717e-03
1.800000e+01	1.900000e+01	2.331487e-01	4.718025e-03	4.718025e-03
1.900000e+01	2.000000e+01	6.587741e-02	2.507910e-03	2.507910e-03
2.000000e+01	2.100000e+01	1.971326e-02	1.715819e-03	1.715819e-03
2.100000e+01	2.200000e+01	8.811231e-02	3.627527e-03	3.627527e-03
2.200000e+01	2.300000e+01	1.784648e-01	5.162600e-03	5.162600e-03
2.300000e+01	2.400000e+01	2.317802e-01	5.883428e-03	5.883428e-03
2.400000e+01	2.500000e+01	2.373059e-01	5.953145e-03	5.953145e-03
2.500000e+01	2.600000e+01	2.508961e-01	6.121237e-03	6.121237e-03
2.600000e+01	2.700000e+01	2.546296e-01	6.166614e-03	6.166614e-03
2.700000e+01	2.800000e+01	2.571685e-01	6.197280e-03	6.197280e-03
2.800000e+01	2.900000e+01	2.349164e-01	5.923098e-03	5.923098e-03
2.900000e+01	3.000000e+01	6.436679e-02	3.100439e-03	3.100439e-03
3.000000e+01	3.100000e+01	2.793550e-02	2.518859e-03	2.518859e-03
3.100000e+01	3.200000e+01	9.425392e-02	4.626743e-03	4.626743e-03
3.200000e+01	3.300000e+01	1.885078e-01	6.543203e-03	6.543203e-03
3.300000e+01	3.400000e+01	2.259823e-01	7.164120e-03	7.164120e-03
3.400000e+01	3.500000e+01	2.532364e-01	7.583833e-03	7.583833e-03
3.500000e+01	3.600000e+01	2.341585e-01	7.292571e-03	7.292571e-03
3.600000e+01	3.700000e+01	2.471042e-01	7.491448e-03	7.491448e-03
3.700000e+01	3.800000e+01	2.655008e-01	7.765306e-03	7.765306e-03
3.800000e+01	3.900000e+01	2.362026e-01	7.324331e-03	7.324331e-03
3.900000e+01	4.000000e+01	6.382012e-02	3.807189e-03	3.807189e-03
4.000000e+01	4.100000e+01	3.192204e-02	3.275132e-03	3.275132e-03
4.100000e+01	4.200000e+01	1.001344e-01	5.800630e-03	5.800630e-03
4.200000e+01	4.300000e+01	1.891801e-01	7.972991e-03	7.972991e-03
4.300000e+01	4.400000e+01	2.197581e-01	8.593221e-03	8.593221e-03
4.400000e+01	4.500000e+01	2.274866e-01	8.743019e-03	8.743019e-03
